adduser	3.110ubuntu5
apache2	2.2.11-2ubuntu2
apache2-mpm-worker	2.2.11-2ubuntu2
apache2-utils	2.2.11-2ubuntu2
apache2.2-common	2.2.11-2ubuntu2
apt	0.7.20.2ubuntu6
apt-utils	0.7.20.2ubuntu6
aptitude	0.4.11.11-1ubuntu1
base-files	5ubuntu4
base-passwd	3.5.21
bash	3.2-5ubuntu1
binutils	2.19.1-0ubuntu3
bsdmainutils	6.1.10ubuntu3
bsdutils	1:2.14.2-1ubuntu4
busybox-initramfs	1:1.10.2-2ubuntu7
bzip2	1.0.5-1ubuntu1
ca-certificates	20080809
console-setup	1.28ubuntu8
console-terminus	4.26-2.1
coreutils	6.10-6ubuntu1
cpio	2.9-15ubuntu1
cpp	4:4.3.3-1ubuntu1
cpp-4.3	4.3.3-5ubuntu4
cron	3.0pl1-105ubuntu1
curl	7.18.2-8ubuntu4
dash	0.5.4-12ubuntu2
debconf	1.5.26ubuntu3
debconf-i18n	1.5.26ubuntu3
debianutils	2.30ubuntu3
dhcp3-client	3.1.1-5ubuntu8
dhcp3-common	3.1.1-5ubuntu8
diff	2.8.1-12ubuntu1
dmidecode	2.9-1ubuntu1
dmsetup	2:1.02.27-4ubuntu5
dpkg	1.14.24ubuntu1
e2fslibs	1.41.4-1ubuntu1
e2fsprogs	1.41.4-1ubuntu1
eject	2.1.5+deb1+cvs20081104-5
file	4.26-2ubuntu3
findutils	4.4.0-2ubuntu4
gcc	4:4.3.3-1ubuntu1
gcc-4.3	4.3.3-5ubuntu4
gcc-4.3-base	4.3.3-5ubuntu4
gnupg	1.4.9-3ubuntu1
gpgv	1.4.9-3ubuntu1
grep	2.5.3~dfsg-6ubuntu1
groff-base	1.18.1.1-22build1
gzip	1.3.12-6ubuntu2
hostname	2.95
ifupdown	0.6.8ubuntu19
initramfs-tools	0.92bubuntu29
initscripts	2.86.ds1-61ubuntu11
iproute	20080725-2
iptables	1.4.1.1-4ubuntu3
iputils-ping	3:20071127-1
joe	3.7-1
kbd	1.14.1-4ubuntu4
klibc-utils	1.5.14-1~exp1ubuntu2
klogd	1.5-5ubuntu3
laptop-detect	0.13.7ubuntu1
less	418-1
libacl1	2.2.47-2
libapache2-mod-wsgi	2.3-1build1
libapr1	1.2.12-5
libaprutil1	1.2.12+dfsg-8
libatm1	2.4.1-17.2
libattr1	1:2.4.43-1
libblas3gf	1.2-2
libblkid1	1.41.4-1ubuntu1
libbz2-1.0	1.0.5-1ubuntu1
libc6	2.9-4ubuntu6
libc6-dev	2.9-4ubuntu6
libcap2	2.11-2
libclass-accessor-perl	0.31-2
libcomerr2	1.41.4-1ubuntu1
libcurl3	7.18.2-8ubuntu4
libcurl3-gnutls	7.18.2-8ubuntu4
libcwidget3	0.5.12-4ubuntu1
libdb4.6	4.6.21-12
libdb4.7	4.7.25-6ubuntu1
libdevmapper1.02.1	2:1.02.27-4ubuntu5
libedit2	2.11~20080614-1ubuntu1
libept0	0.5.26build1
libexpat1	2.0.1-4
libfribidi0	0.10.9-1
libgcc1	1:4.3.3-5ubuntu4
libgcrypt11	1.4.1-2ubuntu1
libgdal1-1.5.0	1.5.2-3ubuntu1
libgdbm3	1.8.3-4
libgfortran3	4.3.3-5ubuntu4
